MY☀4K直播,#genre#
CCTV1,http://60.10.139.113:8801/hls/1/index.m3u8
CCTV2,http://60.10.139.113:8801/hls/2/index.m3u8
CCTV3,http://60.10.139.113:8801/hls/3/index.m3u8
CCTV4,http://60.10.139.113:8801/hls/4/index.m3u8
CCTV5,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV6,http://60.10.139.113:8801/hls/6/index.m3u8
CCTV7,http://60.10.139.113:8801/hls/7/index.m3u8
CCTV8,http://60.10.139.113:8801/hls/8/index.m3u8
CCTV9,http://60.10.139.113:8801/hls/9/index.m3u8
CCTV10,http://60.10.139.113:8801/hls/10/index.m3u8
CCTV11,http://60.10.139.113:8801/hls/96/index.m3u8
CCTV12,http://60.10.139.113:8801/hls/11/index.m3u8
CCTV13,http://60.10.139.113:8801/hls/12/index.m3u8
CCTV14,http://60.10.139.113:8801/hls/13/index.m3u8
CCTV15,http://60.10.139.113:8801/hls/97/index.m3u8
CCTV5+,http://60.10.139.113:8801/hls/15/index.m3u8
CCTV17,http://60.10.139.113:8801/hls/98/index.m3u8
CGTN,http://60.10.139.113:8801/hls/14/index.m3u8
湖南卫视,http://60.10.139.113:8801/hls/17/index.m3u8
浙江卫视,http://60.10.139.113:8801/hls/18/index.m3u8
江苏卫视,http://60.10.139.113:8801/hls/19/index.m3u8
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
东方卫视,http://60.10.139.113:8801/hls/22/index.m3u8
安徽卫视,http://60.10.139.113:8801/hls/99/index.m3u8
天津卫视,http://60.10.139.113:8801/hls/23/index.m3u8
河北卫视,http://60.10.139.113:8801/hls/16/index.m3u8
山东卫视,http://60.10.139.113:8801/hls/25/index.m3u8
河南卫视,http://60.10.139.113:8801/hls/32/index.m3u8
江西卫视,http://60.10.139.113:8801/hls/37/index.m3u8
湖北卫视,http://60.10.139.113:8801/hls/29/index.m3u8
四川卫视,http://60.10.139.113:8801/hls/30/index.m3u8
重庆卫视,http://60.10.139.113:8801/hls/31/index.m3u8
东南卫视,http://60.10.139.113:8801/hls/21/index.m3u8
广东卫视,http://60.10.139.113:8801/hls/26/index.m3u8
深圳卫视,http://60.10.139.113:8801/hls/24/index.m3u8
广西卫视,http://60.10.139.113:8801/hls/52/index.m3u8
辽宁卫视,http://60.10.139.113:8801/hls/28/index.m3u8
吉林卫视,http://60.10.139.113:8801/hls/38/index.m3u8
黑龙江卫视,http://60.10.139.113:8801/hls/27/index.m3u8
贵州卫视,http://60.10.139.113:8801/hls/36/index.m3u8
云南卫视-,http://60.10.139.113:8801/hls/51/index.m3u8
陕西卫视-,http://60.10.139.113:8801/hls/53/index.m3u8
山西卫视-,http://60.10.139.113:8801/hls/54/index.m3u8
青海卫视-,http://60.10.139.113:8801/hls/56/index.m3u8
宁夏卫视-,http://60.10.139.113:8801/hls/57/index.m3u8
内蒙古卫视-,http://60.10.139.113:8801/hls/55/index.m3u8

移动超清,#genre#
CCTV1(超清),http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2(超清),http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3(超清),http://39.165.39.49:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4(超清),http://39.165.39.49:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5(超清),http://39.165.39.49:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
